,Date,Team 1,Team 1 Coach,Team 1 Formation,Team 1 Goals,Team 1 Value,Team 1 Tirs cadres,Team 1 Tirs non cadres,Team 1 Possession,Team 1 Passes,Team 1 Precision passes,Team 1 Fautes,Team 1 Cartons jaunes,Team 1 Cartons rouges,Team 1 HJ,Team 1 Corners,Team 2,Team 2 Coach,Team 2 Formation,Team 2 Goals,Team 2 Value,Team 2 Tirs cadres,Team 2 Tirs non cadres,Team 2 Possession,Team 2 Passes,Team 2 Precision passes,Team 2 Fautes,Team 2 Cartons jaunes,Team 2 Cartons rouges,Team 2 HJ,Team 2 Corners
,2021,Bolivie,Farias Acosta,4-1-4-1,0,5700000,3,1,48,468,82,8,3,0,2,3,Uruguay,Tabarez Silva,4-3-1-2,2,216200000,7,15,52,501,84,13,0,0,4,5
,2021,Chili,Lasarte Arrospide,4-3-3,0,46083000,1,4,69,642,87,13,3,0,1,3,Paraguay,Berizzo,4-4-2,2,47400000,3,4,31,298,71,14,1,0,3,4
,2021,Brésil,Bacchi,4-2-3-1,1,446000000,3,3,62,526,89,5,0,0,1,4,Equateur,Alfaro,4-4-2,1,38400000,3,5,38,314,79,12,1,0,1,7
,2021,Venezuela,dos Santos Peseiro,5-4-1,0,11200000,3,7,43,444,84,17,1,0,2,5,Pérou,Gareca Nardi,4-2-3-1,1,45975000,4,8,57,601,86,9,0,0,3,4
,2021,Uruguay,Tabarez Silva,4-2-3-1,1,216200000,6,12,48,507,83,5,0,0,2,3,Paraguay,Berizzo,4-4-2,0,47400000,0,4,52,538,82,16,2,0,1,0
,2021,Bolivie,Farias Acosta,4-4-2,1,6025000,2,3,32,387,84,11,2,0,2,2,Argentine,Scaloni,4-2-3-1,4,248000000,13,5,68,827,91,7,1,0,3,4
,2021,Pérou,Gareca Nardi,4-1-4-1,3,45975000,5,7,55,413,84,19,2,1,0,3,Paraguay,Berizzo,4-4-2,3,47400000,8,6,45,329,76,13,2,1,3,6
,2021,Brésil,Bacchi,4-2-3-1,1,530000000,5,5,41,351,83,13,1,1,1,4,Chili,Lasarte Arrospide,5-3-2,0,41250000,5,6,59,504,86,12,3,0,4,6
,2021,Uruguay,Tabarez Silva,4-3-1-2,0,216200000,3,4,49,407,80,12,1,0,1,4,Colombie,Rueda Rivera,4-4-2,0,114100000,3,6,51,424,82,17,0,0,2,3
,2021,Argentine,Scaloni,4-3-3,3,334500000,8,13,46,296,80,16,2,0,1,6,Equateur,Alfaro,4-3-3,0,38900000,2,8,54,324,80,14,3,1,4,10
,2021,Brésil,Bacchi,4-2-3-1,1,470000000,8,7,56,502,83,12,1,0,0,3,Pérou,Gareca Nardi,5-4-1,0,39175000,2,5,44,396,79,16,2,0,3,3
,2021,Argentine,Scaloni,4-3-3,1,343500000,4,9,49,383,85,20,4,0,0,5,Colombie,Rueda Rivera,4-4-2,1,170500000,4,10,51,387,81,27,6,0,1,3
,2021,Colombie,Rueda Rivera,4-4-1-1,3,137200000,6,6,45,406,81,18,3,0,1,6,Pérou,Gareca Nardi,4-2-3-1,2,42575000,3,7,55,509,89,8,2,0,1,2
